Feature,Importance
nssSnH2,3.2786273695961654e-16
nHAvin,2.740863092043355e-16
nHaaCH,2.5066754227864863e-16
nsSeH,1.5265566588595902e-16
nddsAs,1.457167719820518e-16
nssGeH2,1.3704315460216776e-16
nddsP,1.3574211199518516e-16
nsSnH3,1.3530843112619095e-16
nsLi,1.3183898417423734e-16
SsPH2,1.1102230246251565e-16
naOm,8.326672684688674e-17
naaN,7.632783294297951e-17
ndssSe,7.28583859910259e-17
SaaCH,6.938893903907228e-17
naasC,6.071532165918825e-17
nssssPb,5.551115123125783e-17
nsssPbH,5.551115123125783e-17
SssssBem,5.551115123125783e-17
nsssB,5.551115123125783e-17
nssSe,5.551115123125783e-17
nSm,4.5102810375396984e-17
SsssB,4.163336342344337e-17
SHaaCH,4.163336342344337e-17
nsSiH3,4.163336342344337e-17
SsssssP,2.7755575615628914e-17
SssNH2p,2.7755575615628914e-17
SddC,2.6020852139652106e-17
nssSiH2,1.3877787807814457e-17
nssssBm,1.3877787807814457e-17
SSm,1.3877787807814457e-17
naaO,1.3877787807814457e-17
SaaO,1.0408340855860843e-17
SaaS,6.938893903907228e-18
SssPbH2,6.3696877633523385e-18
SaaSe,2.710505431213761e-18
SssSnH2,2.1141942363467336e-18
SssSe,1.734723475976807e-18
SsssSnH,1.6263032587282567e-18
minHmisc,1.5178830414797062e-18
minssBe,1.5043305143236374e-18
minaaCH,1.0842021724855044e-18
minsLi,8.673617379884035e-19
minddC,8.673617379884035e-19
minssssBm,7.826584432629735e-19
minsBH2,5.421010862427522e-19
SdssSe,4.336808689942018e-19
SssssPb,2.168404344971009e-19
minHaaCH,2.168404344971009e-19
minaasC,1.6263032587282567e-19
SsssPbH,1.6263032587282567e-19
minddsN,5.421010862427522e-20
minHaaNH,5.421010862427522e-20
maxSm,0.0
maxddssS,0.0
maxdSe,0.0
maxsSeH,0.0
maxdssS,0.0
maxssssssS,0.0
maxsGeH3,0.0
maxssGeH2,0.0
maxddssSe,0.0
minaaSe,0.0
mindssSe,0.0
minssssssSe,0.0
maxsssssAs,0.0
maxaaS,0.0
maxssS,0.0
