Feature,Importance
MDEC-34,0.0034438438592406637
MDEC-11,0.003364960326764964
WTPT-5,0.00332715355456138
SHBa,0.0032077027941042526
nHBAcc_Lipinski,0.003137146467613389
SHsNH2,0.003095735367553466
maxHdNH,0.002979454496725026
SdssC,0.0029771586893347205
n6Ring,0.00297392178052578
ATSc1,0.0028897533119989632
minHssNH,0.0027491331474273945
MDEN-12,0.0027326430984094866
SwHBd,0.0026454302141187234
ETA_dEpsilon_B,0.00263002224841554
minHdsCH,0.0025287370724489315
maxdCH2,0.002511858076357494
Kier2,0.0025037013954763354
SHBint6,0.0025002760642260434
nHssNH,0.002270208547770814
ETA_EtaP_F_L,0.002222538372467124
MDEC-24,0.002219191877190759
MLFER_L,0.0021594393147059275
ATSm5,0.002099552550006393
ETA_dBetaP,0.001991096806745167
fragC,0.001983866643697312
MW,0.0019678813710410285
ETA_dBeta,0.0018848327408512936
ETA_dEpsilon_C,0.0018785638323067177
ETA_Eta_F,0.0018690259519844581
TopoPSA,0.0018668032234753348
WTPT-2,0.0018664482207751247
mindssC,0.001849291971395111
topoRadius,0.001834598423205035
maxdssC,0.0018151005867237172
StN,0.001755454598778391
MLFER_BO,0.0017048584738290217
maxsF,0.0016971873789932317
minsssN,0.0016760887221703303
minHdNH,0.001621789772822506
minsF,0.001570919206281854
SsssN,0.0015616385051703493
ETA_Beta_s,0.0015535828086826787
minHBa,0.0015433813541593467
maxsI,0.0015276388157492336
mindO,0.001520788978264558
Kier1,0.001510535527780858
nAcid,0.001452483910121759
maxHsSH,0.0014386436585283279
SP-7,0.001416162277973318
ETA_BetaP_ns,0.0013820330364562796
hmin,0.0012922611643938603
SCH-7,0.001290180797173091
ETA_BetaP,0.001278339657897703
SssssC,0.001246762348568934
ETA_Psi_1,0.0012455832358732833
MLFER_E,0.0012446702989061744
nBondsS,0.0012395489717843913
nssO,0.001218345920931698
SdsN,0.0012003683117083632
nHBint5,0.0011913190558813479
ETA_Eta_R,0.0011527394094042486
DELS,0.0011523652564950952
minsCH3,0.0010968978776624812
maxHBa,0.001067458949910879
maxHssNH,0.0010565254473296859
ETA_dAlpha_A,0.0010532728041034813
nAtomP,0.001048800348468483
BCUTc-1l,0.0010222061534540903
minwHBa,0.001021355094621176
minHBint10,0.001015090690507785
WTPT-4,0.0009975825929756546
SHCsatu,0.0009739038482973104
ETA_Shape_X,0.0009654602405676425
minHsSH,0.0009174371895340879
SsBr,0.000875790658581409
maxHBd,0.0008705810080545958
ETA_EtaP_B_RC,0.0008622240531323721
ETA_Shape_Y,0.0008081836117271055
SHother,0.0007980064380876409
nHBAcc,0.0007815671227430808
SHBint2,0.0007331054523101577
MAXDN,0.000717501321309941
nHsNH2,0.0007130128745065489
minssCH2,0.0006864772799176526
mindsCH,0.0006766436218469756
SsssCH,0.0006546060500186116
CrippenMR,0.000650722521011913
nT6Ring,0.0006506751637739682
MDEN-13,0.0006489177937933908
SPC-5,0.0005905986965227538
ATSm2,0.0005379293133656811
ETA_dPsi_B,0.0005256400921708499
nsCl,0.0005210937322201155
maxssNH,0.0004961619988525896
SHCsats,0.00044096287640343787
maxHother,0.00039796245878208244
ETA_BetaP_s,0.000392945612603627
nBonds2,0.000355217054741471
C3SP2,0.0003549231286012615
MDEC-33,0.0003539276006708109
C1SP3,0.00034615184080200647
ATSm4,0.00031828594620901134
minHBint9,0.00030758670082722995
minHBint5,0.0002793555952059254
nssCH2,0.0002584449276561546
ETA_AlphaP,0.0002584434864453284
nX,0.0001829895626009155
ATSp3,0.00016057405863986965
FMF,0.00013707650340411017
WPATH,0.000126929967667553
VC-6,9.95909199596648e-05
nBondsM,9.346921613371937e-05
maxHBint6,5.947417337328467e-05
hmax,5.104901686805187e-05
MAXDP,4.3625961550297145e-05
BCUTw-1l,4.0179522853031666e-05
topoShape,3.853990717037963e-05
nF10Ring,2.3882606811401138e-05
VC-5,2.3824354715238767e-05
Zagreb,2.204717290675106e-05
ATSp5,1.4005942008471418e-05
MDEC-13,1.0535996177103877e-05
AMR,1.0267178792072392e-05
nBonds,3.6270934159376285e-06
apol,2.734206653480825e-06
gmax,2.3494653578277106e-06
minssS,1.9309511296665026e-06
SP-6,1.038422685450817e-06
nHeavyAtom,9.089045268222549e-07
WTPT-1,4.0411798117855505e-07
nBondsS3,1.6110287704069606e-07
SssssNp,1.3049333040277323e-07
maxssS,0.0
maxdsssP,0.0
maxdS,0.0
maxsSH,0.0
maxddsP,0.0
maxsssssP,0.0
maxaaS,0.0
maxaOm,0.0
maxsOm,0.0
maxsSiH3,0.0
maxssSiH2,0.0
maxsssSiH,0.0
maxssssSi,0.0
maxsssSnH,0.0
maxssssSn,0.0
maxsPbH3,0.0
maxssPbH2,0.0
maxsssPbH,0.0
maxssssPb,0.0
sumI,0.0
maxdSe,0.0
maxddsN,0.0
maxaaSe,0.0
maxdssSe,0.0
maxssssssSe,0.0
maxddssSe,0.0
maxsBr,0.0
maxsSnH3,0.0
maxssssGe,0.0
maxsAsH2,0.0
maxssSe,0.0
maxsPH2,0.0
maxssPH,0.0
maxaaN,0.0
maxsssP,0.0
maxaasN,0.0
maxssssNp,0.0
maxsOH,0.0
maxdO,0.0
maxssSnH2,0.0
maxaaO,0.0
maxsNH3p,0.0
maxsNH2,0.0
maxssNH2p,0.0
maxdNH,0.0
maxaaNH,0.0
maxtN,0.0
maxsssNHp,0.0
maxssO,0.0
nHBint9,0.0
nHBint10,0.0
nHsOH,0.0
