Feature,Importance
nHdNH,0.0006651521722285263
ETA_Psi_1,0.0006601965504688932
maxHssNH,0.0006582469402194343
C3SP3,0.0006528461436818518
nHBDon_Lipinski,0.0006525182358945365
SP-3,0.0006492042140585524
C3SP2,0.0006462084539742857
SssO,0.0006387791107823353
C2SP3,0.000634290301642253
nHBint4,0.000630236869119989
nBonds2,0.00062855148379294
SsF,0.0006255415935392404
ETA_Eta_F,0.0006091870890477964
maxHBd,0.0006038960916544918
nHBAcc3,0.0005898386786487087
n5Ring,0.0005866364937569107
maxHBint6,0.00058516095600736
ETA_Beta_s,0.0005832469238249457
MDEC-24,0.0005818885435720394
VP-0,0.0005683207819863831
ETA_Eta,0.0005680432203482869
SHBint7,0.0005676843802782106
nF9HeteroRing,0.0005674323921476197
apol,0.0005644380805005151
ETA_dAlpha_B,0.000560713688601793
nssO,0.0005519746362807011
nddssS,0.0005512198990326272
WPATH,0.0005425031840845551
nO,0.0005383426656729039
minsBr,0.0005375867143667675
nRotBt,0.0005365998181908364
WTPT-1,0.0005362731968067146
nF10HeteroRing,0.000534333819239108
VC-4,0.0005329564089947277
nsssCH,0.0005300840613015207
nAtomP,0.0005285353606442349
nHBint5,0.0005229900258699822
MDEC-34,0.0005228938540218854
nAtomLAC,0.0005223954081964197
n6HeteroRing,0.0004835306998731071
nCl,0.00046860536848227294
nHeteroRing,0.00046218553560575587
nT5HeteroRing,0.0004456010352454107
n4Ring,0.00044088839729772614
maxHBint7,0.0004395750002144677
nHdCH2,0.00043933392012551737
nHBint3,0.000436414452596615
C4SP3,0.00043239148228926903
SdsN,0.00042170210874258886
ETA_Alpha,0.00040247506589205094
nBondsD,0.000388365931002876
minHBint8,0.00037072548659442266
maxHBint10,0.0003641925829396409
nHBint8,0.0003515206919030555
ETA_Eta_R,0.00035116635698663874
nBonds,0.0003468588292435097
nTRing,0.0003447235415149698
nHBAcc2,0.00033823143968738517
maxtN,0.00033651651987025435
SHBint8,0.0003339437608037105
nHsNH2,0.0003325052212694694
nHBDon,0.0003218811342438901
nRing,0.0003065473870276491
minsF,0.0003058805537384942
nsBr,0.0003051628647222057
nTG12HeteroRing,0.0002949688481022805
ATSm2,0.0002909982704944719
mintN,0.0002759575354865142
n5HeteroRing,0.0002695539195407418
nssssNp,0.0002616448791245333
nTG12Ring,0.00026104801618842197
SP-1,0.0002525066085415746
nFRing,0.0002515794527580163
nwHBd,0.000249432965246588
nHBa,0.00024797930484622336
minsI,0.0002462867759139106
maxHBint8,0.00023879061584821274
nHdsCH,0.00023304742750414342
MDEO-22,0.0002275365780280591
StsC,0.0002260101606782035
nsOH,0.00022349593467756607
nX,0.00021416576171789137
nFG12Ring,0.000214110819510669
maxtsC,0.00021115078669012055
VCH-4,0.00019135669364136454
nT5Ring,0.0001900379041830069
n6Ring,0.00018907023265985308
nT12HeteroRing,0.00018437305210019305
nT11Ring,0.00018223597945255763
nssssC,0.00018176797536233972
maxdNH,0.0001799467710142438
ndNH,0.00017967228535052286
SCH-4,0.00017886622020789122
SdNH,0.00017825339000202388
StN,0.00017056945657505446
n7HeteroRing,0.00017009580832522253
nF12Ring,0.0001700044272343765
nssS,0.00016718014923364794
mindssS,0.0001635585851448472
maxssssC,0.0001606185504623209
ndsN,0.00015587715762327761
nT4HeteroRing,0.00015464612815441087
nT10Ring,0.0001546035929646808
nFG12HeteroRing,0.00014060346644616308
nHBd,0.00013942719699144463
nT11HeteroRing,0.00013833731578233215
nF,0.00013592168100298488
ETA_Eta_R_L,0.00013523343747739644
nT9HeteroRing,0.00013124756159676705
nHssNH,0.00012863734807084295
nHBint9,0.00011987807123570339
nHBint7,0.00010840004597479153
nsSH,9.95737801293357e-05
SHssNH,9.957378012933569e-05
nF11HeteroRing,9.836716250899232e-05
ntsC,9.65211429385524e-05
n4HeteroRing,9.639878490684944e-05
nF10Ring,9.603747911931649e-05
nT7Ring,9.085880006034903e-05
nT9Ring,8.924958833215715e-05
nsNH2,8.691985322471507e-05
SdssS,8.404229678231508e-05
minsOm,8.390904692791488e-05
mintsC,8.390782910746337e-05
C1SP1,8.383492871600423e-05
nBondsT,8.297815010777974e-05
MDEC-44,8.269230585854772e-05
nsF,8.237689352677149e-05
SCH-3,8.056700807445631e-05
SdO,7.860569166119789e-05
nT4Ring,7.588485663082436e-05
nF9Ring,7.030173322308154e-05
VAdjMat,6.927166763232339e-05
LipinskiFailures,6.855899615462458e-05
ndS,6.586282426352423e-05
nT8Ring,5.1846679229761145e-05
nHsOH,5.1846679229761145e-05
nF4HeteroRing,4.719815387294814e-05
nsPH2,0.0
nssssSi,0.0
nsssSiH,0.0
maxssssssSe,0.0
maxssssPb,0.0
maxsssPbH,0.0
nssPH,0.0
maxssPbH2,0.0
maxsPbH3,0.0
naaS,0.0
nssNH2p,0.0
nsNH3p,0.0
naaaC,0.0
nsssssP,0.0
nddsP,0.0
ndsssP,0.0
nsssP,0.0
maxaaSe,0.0
SsssSnH,0.0
SsSnH3,0.0
SddssSe,0.0
SssBH,0.0
SsBH2,0.0
SssssBem,0.0
SssBe,0.0
nssBe,0.0
nsLi,0.0
nHmisc,0.0
maxdssSe,0.0
SHsssNHp,0.0
SHssNH2p,0.0
SHsNH3p,0.0
SHaaNH,0.0
nHCHnX,0.0
